input_size,output_size,kernel_size,stride,padding,forward_featuremap_internal_padding,forward_featuremap_external_padding,forward_weight_internal_padding,forward_featuremap_elements_after_im2col,forward_featuremap_zeros_after_im2col,loss_featuremap_internal_padding,loss_featuremap_external_padding,loss_weight_internal_padding,loss_featuremap_elements_after_im2col,loss_featuremap_zeros_after_im2col,gradient_featuremap_internal_padding,gradient_featuremap_external_padding,gradient_weight_internal_padding,gradient_featuremap_elements_after_im2col,gradient_featuremap_zeros_after_im2col,gradient_weight_zeros_after_im2col,forward_featuremap_sparsity_after_im2col,forward_weight_sparsity_after_im2col,loss_featuremap_sparsity_after_im2col,loss_weight_sparsity_after_im2col,gradient_featuremap_sparsity_after_im2col,gradient_weight_sparsity_after_im2col,forward_featuremap_additional_storage,loss_featuremap_additional_storage,gradient_kernal_additional_storage
"(-1, 3, 224, 224)","(-1, 64, 112, 112)","(7, 7)","(2, 2)","(3, 3)",0,"(3, 3)",0,1877043,47160,"(1, 1)","(3, 3)",0,157351936,118314432,0,"(3, 3)","(1, 1)",7441875,150432,2379840,0.02512462420946137,0,0.7519096047219909,0,0.020214260519022424,0.7477528202859498,0.036449432373046875,9.62890625,9.078369140625
"(-1, 64, 56, 56)","(-1, 128, 56, 56)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,200704,0,"(0, 0)","(0, 0)",0,401408,0,0,"(0, 0)","(0, 0)",200704,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 56, 56)","(-1, 32, 56, 56)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,3612672,85504,"(0, 0)","(1, 1)",0,903168,21376,0,"(1, 1)","(0, 0)",3612672,85504,0,0.02366780045351474,0,0.02366780045351474,0,0.02366780045351474,0.0,0.111328125,0.02783203125,0.0
"(-1, 96, 56, 56)","(-1, 128, 56, 56)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,301056,0,"(0, 0)","(0, 0)",0,401408,0,0,"(0, 0)","(0, 0)",301056,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 56, 56)","(-1, 32, 56, 56)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,3612672,85504,"(0, 0)","(1, 1)",0,903168,21376,0,"(1, 1)","(0, 0)",3612672,85504,0,0.02366780045351474,0,0.02366780045351474,0,0.02366780045351474,0.0,0.111328125,0.02783203125,0.0
"(-1, 128, 56, 56)","(-1, 128, 56, 56)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,401408,0,"(0, 0)","(0, 0)",0,401408,0,0,"(0, 0)","(0, 0)",401408,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 56, 56)","(-1, 32, 56, 56)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,3612672,85504,"(0, 0)","(1, 1)",0,903168,21376,0,"(1, 1)","(0, 0)",3612672,85504,0,0.02366780045351474,0,0.02366780045351474,0,0.02366780045351474,0.0,0.111328125,0.02783203125,0.0
"(-1, 160, 56, 56)","(-1, 128, 56, 56)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,501760,0,"(0, 0)","(0, 0)",0,401408,0,0,"(0, 0)","(0, 0)",501760,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 56, 56)","(-1, 32, 56, 56)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,3612672,85504,"(0, 0)","(1, 1)",0,903168,21376,0,"(1, 1)","(0, 0)",3612672,85504,0,0.02366780045351474,0,0.02366780045351474,0,0.02366780045351474,0.0,0.111328125,0.02783203125,0.0
"(-1, 192, 56, 56)","(-1, 128, 56, 56)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,602112,0,"(0, 0)","(0, 0)",0,401408,0,0,"(0, 0)","(0, 0)",602112,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 56, 56)","(-1, 32, 56, 56)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,3612672,85504,"(0, 0)","(1, 1)",0,903168,21376,0,"(1, 1)","(0, 0)",3612672,85504,0,0.02366780045351474,0,0.02366780045351474,0,0.02366780045351474,0.0,0.111328125,0.02783203125,0.0
"(-1, 224, 56, 56)","(-1, 128, 56, 56)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,702464,0,"(0, 0)","(0, 0)",0,401408,0,0,"(0, 0)","(0, 0)",702464,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 56, 56)","(-1, 32, 56, 56)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,3612672,85504,"(0, 0)","(1, 1)",0,903168,21376,0,"(1, 1)","(0, 0)",3612672,85504,0,0.02366780045351474,0,0.02366780045351474,0,0.02366780045351474,0.0,0.111328125,0.02783203125,0.0
"(-1, 256, 56, 56)","(-1, 128, 56, 56)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,802816,0,"(0, 0)","(0, 0)",0,401408,0,0,"(0, 0)","(0, 0)",802816,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 28, 28)","(-1, 128, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,100352,0,"(0, 0)","(0, 0)",0,100352,0,0,"(0, 0)","(0, 0)",100352,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 28, 28)","(-1, 32, 28, 28)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,903168,42496,"(0, 0)","(1, 1)",0,225792,10624,0,"(1, 1)","(0, 0)",903168,42496,0,0.04705215419501134,0,0.04705215419501134,0,0.04705215419501134,0.0,0.056640625,0.01416015625,0.0
"(-1, 160, 28, 28)","(-1, 128, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,125440,0,"(0, 0)","(0, 0)",0,100352,0,0,"(0, 0)","(0, 0)",125440,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 28, 28)","(-1, 32, 28, 28)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,903168,42496,"(0, 0)","(1, 1)",0,225792,10624,0,"(1, 1)","(0, 0)",903168,42496,0,0.04705215419501134,0,0.04705215419501134,0,0.04705215419501134,0.0,0.056640625,0.01416015625,0.0
"(-1, 192, 28, 28)","(-1, 128, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,150528,0,"(0, 0)","(0, 0)",0,100352,0,0,"(0, 0)","(0, 0)",150528,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 28, 28)","(-1, 32, 28, 28)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,903168,42496,"(0, 0)","(1, 1)",0,225792,10624,0,"(1, 1)","(0, 0)",903168,42496,0,0.04705215419501134,0,0.04705215419501134,0,0.04705215419501134,0.0,0.056640625,0.01416015625,0.0
"(-1, 224, 28, 28)","(-1, 128, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,175616,0,"(0, 0)","(0, 0)",0,100352,0,0,"(0, 0)","(0, 0)",175616,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 28, 28)","(-1, 32, 28, 28)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,903168,42496,"(0, 0)","(1, 1)",0,225792,10624,0,"(1, 1)","(0, 0)",903168,42496,0,0.04705215419501134,0,0.04705215419501134,0,0.04705215419501134,0.0,0.056640625,0.01416015625,0.0
"(-1, 256, 28, 28)","(-1, 128, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,200704,0,"(0, 0)","(0, 0)",0,100352,0,0,"(0, 0)","(0, 0)",200704,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 28, 28)","(-1, 32, 28, 28)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,903168,42496,"(0, 0)","(1, 1)",0,225792,10624,0,"(1, 1)","(0, 0)",903168,42496,0,0.04705215419501134,0,0.04705215419501134,0,0.04705215419501134,0.0,0.056640625,0.01416015625,0.0
"(-1, 288, 28, 28)","(-1, 128, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,225792,0,"(0, 0)","(0, 0)",0,100352,0,0,"(0, 0)","(0, 0)",225792,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 28, 28)","(-1, 32, 28, 28)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,903168,42496,"(0, 0)","(1, 1)",0,225792,10624,0,"(1, 1)","(0, 0)",903168,42496,0,0.04705215419501134,0,0.04705215419501134,0,0.04705215419501134,0.0,0.056640625,0.01416015625,0.0
"(-1, 320, 28, 28)","(-1, 128, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,250880,0,"(0, 0)","(0, 0)",0,100352,0,0,"(0, 0)","(0, 0)",250880,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 28, 28)","(-1, 32, 28, 28)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,903168,42496,"(0, 0)","(1, 1)",0,225792,10624,0,"(1, 1)","(0, 0)",903168,42496,0,0.04705215419501134,0,0.04705215419501134,0,0.04705215419501134,0.0,0.056640625,0.01416015625,0.0
"(-1, 352, 28, 28)","(-1, 128, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,275968,0,"(0, 0)","(0, 0)",0,100352,0,0,"(0, 0)","(0, 0)",275968,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 28, 28)","(-1, 32, 28, 28)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,903168,42496,"(0, 0)","(1, 1)",0,225792,10624,0,"(1, 1)","(0, 0)",903168,42496,0,0.04705215419501134,0,0.04705215419501134,0,0.04705215419501134,0.0,0.056640625,0.01416015625,0.0
"(-1, 384, 28, 28)","(-1, 128, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,301056,0,"(0, 0)","(0, 0)",0,100352,0,0,"(0, 0)","(0, 0)",301056,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 28, 28)","(-1, 32, 28, 28)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,903168,42496,"(0, 0)","(1, 1)",0,225792,10624,0,"(1, 1)","(0, 0)",903168,42496,0,0.04705215419501134,0,0.04705215419501134,0,0.04705215419501134,0.0,0.056640625,0.01416015625,0.0
"(-1, 416, 28, 28)","(-1, 128, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,326144,0,"(0, 0)","(0, 0)",0,100352,0,0,"(0, 0)","(0, 0)",326144,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 28, 28)","(-1, 32, 28, 28)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,903168,42496,"(0, 0)","(1, 1)",0,225792,10624,0,"(1, 1)","(0, 0)",903168,42496,0,0.04705215419501134,0,0.04705215419501134,0,0.04705215419501134,0.0,0.056640625,0.01416015625,0.0
"(-1, 448, 28, 28)","(-1, 128, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,351232,0,"(0, 0)","(0, 0)",0,100352,0,0,"(0, 0)","(0, 0)",351232,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 28, 28)","(-1, 32, 28, 28)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,903168,42496,"(0, 0)","(1, 1)",0,225792,10624,0,"(1, 1)","(0, 0)",903168,42496,0,0.04705215419501134,0,0.04705215419501134,0,0.04705215419501134,0.0,0.056640625,0.01416015625,0.0
"(-1, 480, 28, 28)","(-1, 128, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,376320,0,"(0, 0)","(0, 0)",0,100352,0,0,"(0, 0)","(0, 0)",376320,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 28, 28)","(-1, 32, 28, 28)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,903168,42496,"(0, 0)","(1, 1)",0,225792,10624,0,"(1, 1)","(0, 0)",903168,42496,0,0.04705215419501134,0,0.04705215419501134,0,0.04705215419501134,0.0,0.056640625,0.01416015625,0.0
"(-1, 512, 28, 28)","(-1, 256, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,401408,0,"(0, 0)","(0, 0)",0,200704,0,0,"(0, 0)","(0, 0)",401408,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 256, 14, 14)","(-1, 128, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,50176,0,"(0, 0)","(0, 0)",0,25088,0,0,"(0, 0)","(0, 0)",50176,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 14, 14)","(-1, 32, 14, 14)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,225792,20992,"(0, 0)","(1, 1)",0,56448,5248,0,"(1, 1)","(0, 0)",225792,20992,0,0.09297052154195011,0,0.09297052154195011,0,0.09297052154195011,0.0,0.029296875,0.00732421875,0.0
"(-1, 288, 14, 14)","(-1, 128, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,56448,0,"(0, 0)","(0, 0)",0,25088,0,0,"(0, 0)","(0, 0)",56448,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 14, 14)","(-1, 32, 14, 14)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,225792,20992,"(0, 0)","(1, 1)",0,56448,5248,0,"(1, 1)","(0, 0)",225792,20992,0,0.09297052154195011,0,0.09297052154195011,0,0.09297052154195011,0.0,0.029296875,0.00732421875,0.0
"(-1, 320, 14, 14)","(-1, 128, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,62720,0,"(0, 0)","(0, 0)",0,25088,0,0,"(0, 0)","(0, 0)",62720,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 14, 14)","(-1, 32, 14, 14)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,225792,20992,"(0, 0)","(1, 1)",0,56448,5248,0,"(1, 1)","(0, 0)",225792,20992,0,0.09297052154195011,0,0.09297052154195011,0,0.09297052154195011,0.0,0.029296875,0.00732421875,0.0
"(-1, 352, 14, 14)","(-1, 128, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,68992,0,"(0, 0)","(0, 0)",0,25088,0,0,"(0, 0)","(0, 0)",68992,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 14, 14)","(-1, 32, 14, 14)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,225792,20992,"(0, 0)","(1, 1)",0,56448,5248,0,"(1, 1)","(0, 0)",225792,20992,0,0.09297052154195011,0,0.09297052154195011,0,0.09297052154195011,0.0,0.029296875,0.00732421875,0.0
"(-1, 384, 14, 14)","(-1, 128, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,75264,0,"(0, 0)","(0, 0)",0,25088,0,0,"(0, 0)","(0, 0)",75264,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 14, 14)","(-1, 32, 14, 14)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,225792,20992,"(0, 0)","(1, 1)",0,56448,5248,0,"(1, 1)","(0, 0)",225792,20992,0,0.09297052154195011,0,0.09297052154195011,0,0.09297052154195011,0.0,0.029296875,0.00732421875,0.0
"(-1, 416, 14, 14)","(-1, 128, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,81536,0,"(0, 0)","(0, 0)",0,25088,0,0,"(0, 0)","(0, 0)",81536,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 14, 14)","(-1, 32, 14, 14)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,225792,20992,"(0, 0)","(1, 1)",0,56448,5248,0,"(1, 1)","(0, 0)",225792,20992,0,0.09297052154195011,0,0.09297052154195011,0,0.09297052154195011,0.0,0.029296875,0.00732421875,0.0
"(-1, 448, 14, 14)","(-1, 128, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,87808,0,"(0, 0)","(0, 0)",0,25088,0,0,"(0, 0)","(0, 0)",87808,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 14, 14)","(-1, 32, 14, 14)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,225792,20992,"(0, 0)","(1, 1)",0,56448,5248,0,"(1, 1)","(0, 0)",225792,20992,0,0.09297052154195011,0,0.09297052154195011,0,0.09297052154195011,0.0,0.029296875,0.00732421875,0.0
"(-1, 480, 14, 14)","(-1, 128, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,94080,0,"(0, 0)","(0, 0)",0,25088,0,0,"(0, 0)","(0, 0)",94080,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 14, 14)","(-1, 32, 14, 14)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,225792,20992,"(0, 0)","(1, 1)",0,56448,5248,0,"(1, 1)","(0, 0)",225792,20992,0,0.09297052154195011,0,0.09297052154195011,0,0.09297052154195011,0.0,0.029296875,0.00732421875,0.0
"(-1, 512, 14, 14)","(-1, 128, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,100352,0,"(0, 0)","(0, 0)",0,25088,0,0,"(0, 0)","(0, 0)",100352,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 14, 14)","(-1, 32, 14, 14)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,225792,20992,"(0, 0)","(1, 1)",0,56448,5248,0,"(1, 1)","(0, 0)",225792,20992,0,0.09297052154195011,0,0.09297052154195011,0,0.09297052154195011,0.0,0.029296875,0.00732421875,0.0
"(-1, 544, 14, 14)","(-1, 128, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,106624,0,"(0, 0)","(0, 0)",0,25088,0,0,"(0, 0)","(0, 0)",106624,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 14, 14)","(-1, 32, 14, 14)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,225792,20992,"(0, 0)","(1, 1)",0,56448,5248,0,"(1, 1)","(0, 0)",225792,20992,0,0.09297052154195011,0,0.09297052154195011,0,0.09297052154195011,0.0,0.029296875,0.00732421875,0.0
"(-1, 576, 14, 14)","(-1, 128, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,112896,0,"(0, 0)","(0, 0)",0,25088,0,0,"(0, 0)","(0, 0)",112896,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 128, 14, 14)","(-1, 32, 14, 14)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,225792,20992,"(0, 0)","(1, 1)",0,56448,5248,0,"(1, 1)","(0, 0)",225792,20992,0,0.09297052154195011,0,0.09297052154195011,0,0.09297052154195011,0.0,0.029296875,0.00732421875,0.0
"(-1, 608, 14, 14)","(-1, 128, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,119168,0,"(0, 0)","(0, 0)",0,25088,0,0,"(0, 0)","(0, 0)",119168,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
